customer_id,subscription_start,subscription_end,plan_type,plan_price
1,8/31/2021,,Basic,499
2,6/6/2021,,Standard,799
3,3/25/2023,,Basic,499
4,2/5/2022,5/21/2023,Standard,799
5,7/18/2022,,Basic,499
6,8/19/2021,,Basic,499
7,5/9/2023,,Basic,499
8,3/24/2022,,Standard,799
9,4/17/2021,,Basic,499
10,5/9/2023,,Standard,799
11,12/16/2021,,Standard,799
12,8/20/2021,3/30/2023,Basic,499
13,6/20/2021,6/3/2023,Standard,799
14,6/25/2022,,Premium,1199
15,3/15/2022,5/22/2023,Standard,799
16,4/11/2023,,Premium,1199
17,5/3/2022,,Standard,799
18,9/23/2023,,Standard,799
19,8/21/2023,,Standard,799
20,12/7/2022,,Basic,499
21,12/6/2022,,Standard,799
22,8/1/2023,,Basic,499
23,7/28/2022,,Premium,1199
24,6/3/2021,11/19/2022,Standard,799
25,6/20/2021,4/18/2023,Standard,799
26,2/25/2021,,Basic,499
27,3/8/2022,,Standard,799
28,12/3/2022,,Standard,799
29,9/22/2023,,Standard,799
30,5/7/2023,,Standard,799
31,6/14/2021,,Basic,499
32,3/29/2022,12/18/2023,Premium,1199
33,12/26/2022,,Basic,499
34,4/12/2022,,Premium,1199
35,5/1/2023,,Standard,799
36,10/3/2022,,Standard,799
37,7/5/2021,,Basic,499
38,9/15/2022,5/21/2024,Basic,499
39,3/21/2022,3/5/2024,Basic,499
40,11/25/2022,6/29/2024,Premium,1199
41,6/27/2021,,Basic,499
42,1/20/2021,,Basic,499
43,11/25/2022,,Standard,799
44,3/21/2022,,Premium,1199
45,5/26/2021,6/24/2022,Premium,1199
46,8/5/2021,,Basic,499
47,1/14/2021,8/23/2021,Basic,499
48,4/22/2023,,Basic,499
49,8/31/2021,,Standard,799
50,12/22/2021,2/13/2023,Basic,499
51,7/9/2023,,Basic,499
52,8/17/2021,,Basic,499
53,8/23/2022,9/18/2023,Standard,799
54,4/11/2022,,Basic,499
55,9/23/2022,9/5/2023,Premium,1199
56,4/5/2022,,Standard,799
57,5/12/2021,,Basic,499
58,5/2/2021,,Basic,499
59,2/14/2021,,Basic,499
60,7/13/2022,,Basic,499
61,8/8/2021,,Basic,499
62,3/25/2021,,Standard,799
63,2/8/2023,8/21/2023,Premium,1199
64,8/22/2021,6/17/2023,Basic,499
65,8/8/2022,,Standard,799
66,11/10/2021,,Basic,499
67,3/9/2022,,Standard,799
68,2/4/2021,7/4/2022,Basic,499
69,4/23/2023,2/18/2025,Standard,799
70,9/19/2022,,Basic,499
71,6/2/2023,8/13/2024,Standard,799
72,4/7/2022,10/31/2023,Basic,499
73,9/27/2022,,Standard,799
74,11/29/2022,,Standard,799
75,4/4/2022,,Basic,499
76,1/16/2021,,Premium,1199
77,2/27/2022,,Premium,1199
78,9/6/2021,7/11/2023,Premium,1199
79,1/5/2023,10/15/2023,Premium,1199
80,3/28/2023,,Standard,799
81,5/21/2022,2/15/2023,Premium,1199
82,5/4/2023,,Standard,799
83,3/17/2023,12/14/2023,Basic,499
84,11/26/2022,,Standard,799
85,3/8/2023,,Basic,499
86,4/19/2023,,Basic,499
87,6/11/2023,,Premium,1199
88,10/15/2021,,Premium,1199
89,3/29/2022,,Premium,1199
90,6/21/2021,,Premium,1199
91,9/26/2023,,Basic,499
92,6/6/2022,,Basic,499
93,3/2/2023,,Standard,799
94,3/17/2022,,Standard,799
95,11/24/2021,,Premium,1199
96,10/20/2022,,Premium,1199
97,7/27/2021,,Premium,1199
98,6/18/2023,6/27/2024,Standard,799
99,11/23/2021,1/2/2023,Premium,1199
100,6/2/2023,,Standard,799
101,11/6/2022,7/22/2023,Basic,499
102,7/28/2023,,Standard,799
103,5/17/2021,8/5/2022,Standard,799
104,3/3/2022,10/21/2022,Basic,499
105,10/26/2021,12/18/2022,Premium,1199
106,3/21/2022,6/20/2023,Standard,799
107,4/4/2022,2/18/2023,Basic,499
108,6/19/2022,3/7/2023,Standard,799
109,6/21/2022,10/4/2023,Basic,499
110,6/13/2023,1/16/2025,Standard,799
111,6/1/2021,12/9/2022,Standard,799
112,9/1/2023,5/17/2025,Basic,499
113,3/8/2022,,Basic,499
114,12/17/2021,4/14/2023,Basic,499
115,11/1/2021,,Standard,799
116,2/18/2021,2/13/2023,Basic,499
117,2/5/2023,1/1/2024,Standard,799
118,5/3/2021,,Basic,499
119,11/21/2021,8/27/2023,Premium,1199
120,10/16/2022,,Standard,799
121,10/4/2022,,Standard,799
122,6/5/2022,,Standard,799
123,1/21/2023,,Basic,499
124,8/26/2021,10/9/2022,Standard,799
125,4/17/2022,10/17/2022,Basic,499
126,7/12/2022,4/25/2023,Standard,799
127,9/21/2023,,Standard,799
128,3/14/2023,,Standard,799
129,3/28/2022,9/20/2023,Standard,799
130,11/3/2022,,Basic,499
131,7/15/2021,,Premium,1199
132,5/26/2021,6/9/2022,Premium,1199
133,1/8/2023,1/5/2024,Basic,499
134,5/18/2023,2/20/2025,Standard,799
135,8/4/2023,,Basic,499
136,4/28/2021,,Premium,1199
137,8/9/2022,2/6/2024,Standard,799
138,7/12/2022,10/23/2023,Basic,499
139,7/20/2021,,Standard,799
140,8/6/2022,12/22/2023,Basic,499
141,7/30/2022,6/20/2024,Basic,499
142,4/12/2022,,Standard,799
143,8/7/2023,,Basic,499
144,9/5/2023,,Basic,499
145,1/16/2022,,Standard,799
146,6/5/2021,5/3/2022,Basic,499
147,11/20/2021,,Basic,499
148,1/3/2022,,Basic,499
149,4/26/2023,,Basic,499
150,7/26/2022,,Premium,1199
151,9/6/2021,,Basic,499
152,4/16/2023,,Standard,799
153,10/11/2021,,Basic,499
154,5/3/2022,9/15/2023,Standard,799
155,2/21/2022,,Basic,499
156,4/13/2021,,Standard,799
157,10/20/2021,,Basic,499
158,5/7/2021,,Standard,799
159,7/7/2021,,Standard,799
160,3/5/2021,,Basic,499
161,8/16/2022,1/8/2024,Basic,499
162,11/12/2021,,Standard,799
